,applicationid,applicationno,agentid,updatedate,
,45689,620004354,0000694128,2019-06-15 10:25:05.117,
,45690,620004355,0000632628,2019-06-15 10:25:02.176,
,45688,620004353,0000017627,2019-06-15 10:23:25.64,
,45687,620004352,0000019731,2019-06-15 10:23:23.565,
,45686,620004351,0000521318,2019-06-15 10:23:19.662,
,45685,620004350,0000631481,2019-06-15 10:23:07.162,
,45683,620004348,0000653699,2019-06-15 10:22:33.269,
,45679,620004345,0000027292,2019-06-15 10:22:23.501,
,45681,620004346,0000164149,2019-06-15 10:22:23.5,
,45678,620004341,0000063555,2019-06-15 10:22:23.267,
,45676,620004342,0000661322,2019-06-15 10:22:21.966,
,45680,620004343,0000005057,2019-06-15 10:22:20.412,
,45677,620004338,0000072616,2019-06-15 10:22:18.098,
,45674,620004340,0000528551,2019-06-15 10:22:17.872,
,45675,620004344,0000626671,2019-06-15 10:22:17.188,
,45673,620004339,0000656809,2019-06-15 10:22:16.219,
,45672,620004337,0000337497,2019-06-15 10:22:12.819,
,45671,620004332,0000628351,2019-06-15 10:22:08.859,
,45669,620004334,0000006921,2019-06-15 10:22:07.552,
,45670,620004335,0000635982,2019-06-15 10:22:04.581,
,45668,620004336,0000550175,2019-06-15 10:22:03.01,
,45667,620004333,0000016764,2019-06-15 10:22:01.379,
,45666,620004331,0000642039,2019-06-15 10:21:59.96,
,45665,620004330,0000658348,2019-06-15 10:21:58.232,
,45663,620004328,0000012552,2019-06-15 10:21:56.683,
,45664,620004329,0000657361,2019-06-15 10:21:55.984,
,45662,620004327,0000644355,2019-06-15 10:21:55.639,
,45660,620004325,0000508962,2019-06-15 10:21:50.523,
,45658,620004324,0000617286,2019-06-15 10:21:47.189,
,45659,620004323,0000221584,2019-06-15 10:21:45.741,
,45657,620004322,0000618092,2019-06-15 10:21:38.571,
,45655,620004320,0000016970,2019-06-15 10:21:31.826,
,45653,620004318,0000108027,2019-06-15 10:21:28.278,
,45654,620004319,0000632550,2019-06-15 10:21:27.299,
,45652,620004317,0000564143,2019-06-15 10:21:26.862,
,45651,620004316,0000550124,2019-06-15 10:21:19.504,
,45650,620004315,0000195560,2019-06-15 10:21:14.658,
,45649,620004314,0000003868,2019-06-15 10:21:08.889,
,45648,620004313,0000016423,2019-06-15 10:20:58.91,
,45647,620004312,0000015545,2019-06-15 10:20:56.148,
,45646,620004311,0000628055,2019-06-15 10:07:21.266,
,45645,620004310,0000617126,2019-06-15 10:06:30.766,
,45644,620004309,0000093842,2019-06-15 10:00:30.84,
,45622,620004285,0000573403,2019-06-15 09:55:34.368,
